Gloss	Beijing	Changsha	Chengdu	Fuzhou	Guangzhou	Guilin	Ha'erbin	Jinan	Jixi	Loudi	Meixian	Nanchang	Nanjing	Rongcheng	Suzhou	Taiyuan	Wenzhou	Xi'an	Xiamen
ALL_1	ʨʰɥɛn³⁵pu⁵¹	ʨʰɥẽ¹³pu¹¹	ʨʰɥan²¹pu²¹³		ʦʰyn²¹pou²²	ʨɥã²²pu²¹	ʨʰɥan²⁴pu⁵³	ʨʰɥæ̃⁵³pu³¹	ʨʰɥẽ⁴⁴pʰu³¹	ʣwĩ¹³bu¹¹	ʨʰjen¹¹pʰu⁵³	ʨʰɥon²⁴pu⁰	ʨʰɥen¹³pu⁴⁴	ʦʰjɐn³⁵pu³³⁴	zjɪ¹³bu²³¹	ʨʰɥe²¹pu⁴⁵	jy³⁴¹bu²⁴	ʦʰwæ̃²⁴pu⁴⁴	ʦwan²⁴pɔ²²
ALL_2				ko²¹²louŋ⁵³ŋa²⁴²															
AND_1															taʔ⁴				
AND_2	xɤ³⁵		xo²¹		wɔ²¹		xɤ²¹	xɤ⁵³	xɵ⁴⁴	ɣo¹³		fo⁴⁵	xo¹³	xɔ³⁵		xɤ²¹		xwo²⁴	kaʔ³²
AND_3				kɔyŋ²⁴²															
AND_4																	kʰwɔ⁵¹		
AND_5		kən³³				kɤn⁴²													
AND_6											tʰuŋ¹¹								
ANIMAL_1	tuŋ⁵¹u⁵¹	toŋ¹¹u²⁴	toŋ²¹³u²¹		toŋ³³mɐt²	tɤn²⁵u²²	tuŋ⁵³u⁰	tuŋ³¹u⁰	tʰɑ̃²¹³vɤʔ³²	dɤn¹¹u³⁵	tʰuŋ⁵³vut⁵	tʰuŋ²¹u⁰	toŋ⁴⁴uʔ⁵	toŋ³³⁴u³³⁴		tuŋ⁴⁵və⁰	doŋ²⁴vai²²	tuŋ⁴⁴vo²¹	tɔŋ²²but⁵
ANIMAL_2															ʦoŋ⁴⁴sã⁴⁴				
ANIMAL_3				si²¹²kʰa⁵⁵βa⁵³															
ASH_1	xwei⁵⁵	fei³³	xwei⁴⁵	hwoi⁵⁵	fwi⁵³	fei⁴²	xwei⁴⁴	xwei²¹³	fa⁵⁵	xwe⁴⁴	foi³³	fɨi⁴²	xwei³¹	xwei⁵²	hwe̞⁴⁴	xwei²¹	fai⁴⁴	xwei²¹	he⁵⁵
ASH_2				hwoi⁵⁵hwoi⁵⁵															
BACK_1	pei⁵¹	pei⁵⁵	pei²¹³	pʰjaŋ⁵⁵	pwi³³	pei²⁵	pei⁵³	pei³¹	pa³⁵	pe³⁵	poi⁵³		pei⁴⁴	pei⁵²	pe̞⁴¹²	pei⁴⁵		ʨi²¹pei²⁴~pei²⁴	
BACK_2												pei⁴⁵ʨjaʔ⁰							ka⁵⁵ʦjaʔ³²
BACK_3																	pai⁴²ʥi²⁴saŋ⁴⁴		
BAD_1																			pʰai⁵³
BAD_2				ŋai⁵³															
BAD_3	xai⁵¹	fai¹¹	xwai²¹³		wai²²	fai²¹	xwai⁵³	xwɛ³¹	vɔ³¹	ɣwa¹¹	fai⁵³	fai²¹	xwɛ⁴⁴	xwai³³⁴	wɑ⁴¹²	xwai⁴⁵		xwɛ⁴⁴	
BAD_4															ʨʰjʏ⁴⁴				
BAD_5		kwai⁴¹																	
BAD_6											pe³¹								
BAD_7				pʰai³²															
BAD_8																	mə³⁴¹		
BARK_1	ʂu⁵¹pʰjə³⁵	ɕy¹¹pi¹³	su²¹³pʰi²¹	ʦʰjeu²¹²pʰwoi⁵³	sy²²pʰei²¹	ɕy²¹pi²²	ʂu⁵³pʰi²⁴	ʂu³¹pʰi⁵³	ɕy³¹pʰɹ̩⁴⁴	ʑy¹¹bi¹³	su⁵³pʰi¹¹	su²¹pʰi²⁴	su⁴⁴pʰi¹³	ʃy³³⁴pʰi³⁵	zɻ̩ʷ²³¹bi¹³	su⁴⁵pʰi²¹	zɹ̩²²bei³⁴¹	fu⁴⁴pʰi²⁴	ʦʰju²²pʰe²⁴
BE ALIVE_1	xwo³⁵tɤ⁰		xo²¹li⁵⁵				xwo²⁴ty⁰	xwɤ⁵³ti⁰					xoʔ⁵ti⁰	xwɔ³⁵tə⁰		xwəʔ⁵⁴təʔ⁰		xwo²⁴ti⁰	
BE ALIVE_2		xo²⁴ti⁰								xwe³⁵kɤ⁰									waʔ⁵e⁰
BE ALIVE_3				waʔ⁵ki⁵³															
BE ALIVE_4											saŋ³³ŋe⁵³	wot²¹ko⁴²					ʥi²²ɡi⁰		
BE ALIVE_5									voʔ³²noʔ³²										
BE ALIVE_6															ɦwə²³kəʔ⁴				
BE ALIVE_7					saŋ⁵³kɛ³³														
BE ALIVE_8						xwo²²kɤ⁰te³³													
BECAUSE_1	in⁵⁵wei⁰	in³³wei¹¹	in⁴⁵wei²¹³	iŋ⁵⁵ŋwoi²⁴²	jɐn⁵³wɐi²²	iŋ⁴²wei²²	in⁴⁴ʋei⁰	jẽ²¹⁴vei³¹	jɑ̃⁵⁵vi⁵⁵	in⁴⁴wi¹¹	in³³vi¹¹	in⁴²wi²¹	in³¹ʋei¹³	in⁵²wei³⁵	in⁴⁴ɦwe̞²³¹	iŋ²¹vei⁴⁵	jaŋ⁴⁴vu³⁴¹	jẽ²¹wei²⁴	iŋ⁵⁵wi²²
BECAUSE_2							yŋ⁴⁴xu⁰												
BELLY_1			tu²¹³pʰi²¹												dəu²³¹bi¹³				
BELLY_2	tu⁵¹ʦʰɹ̩⁰	təu⁵⁵ʦɹ̩⁰	tu²¹³ʦɹ̩⁵³			tu²³ʦe²³	tu⁵³ʦwɹ̩⁰	tu³¹ʦɹ̩⁰	tʰu²¹³ʦɹ̩⁰	tɤu⁴²ʦɹ̩⁰		tu²¹³ʦɹ̩⁰	tu⁴⁴ʦɹ̩⁰	tu³³⁴ʦɹ̩⁰		tu⁴⁵ʦəʔ⁰		tou⁴⁴ʦɹ̩⁰	
BELLY_3				puʔ²⁴lo³²															
BELLY_4					tʰou²³						tu³¹						døy²⁴		pak³²tɔ⁵³
BIG_1	tɑ⁵¹	tai¹¹	ta²¹³	twai²⁴²	tai²²	tai²¹	ta⁵³	ta³¹	tʰɵ³¹	da¹¹	tʰai⁵³	tʰai²¹	tɑ⁴⁴	ta³³⁴	dəu²³¹	ta⁴⁵	dɤu²²	tɑ⁴⁴	twa²²
BIRD_1													ʨʰjoʔ⁵ʦɹ̩⁰						
BIRD_2	njɑu²¹³	ɲjau⁴¹		ʦɛu³²	nju²³	tjɑu²³	njau²¹³	ɲjɔ⁴⁵	ɲje²¹³			ɲjɛu²¹³	ljɔ¹¹		tjæ⁵²	njau⁵³		ʨʰjɑu⁵³	ʦjau⁵³
BIRD_3							ʨʰjau²¹³							ʦʰɥɔ³⁵					
BIRD_4										tjɤ⁴²ʨi³⁵									
BIRD_5			ʨʰo²¹ʨʰo²¹																
BIRD_6			ʨʰɥo²¹ə⁵⁵																
BIRD_7											tjau³³ve⁰								
BIRD_8																	tjɛ²⁴²ŋ̍⁰		
BITE_1	jɑu²¹³	ŋa⁴¹	ŋau⁵³	ka²⁴²	ŋau²³	ŋɑu²³	jau²¹³	jɔ⁴⁵	ŋɤ²¹³			ŋau²¹³	jɔ¹¹	jau²¹⁴	ŋæ²³¹	jau⁵³	ŋwɔ²⁴²	ɲjɑu⁵³	ka²²
BITE_2										ŋa³⁵									
BITE_3											ŋat¹								
BLACK_1	xei⁵⁵	xə²⁴	xe²¹		hɐk³	xei⁵⁵	xei⁴⁴	xei²¹⁴	xɤʔ³²	xe¹³	het¹	hɛt⁵	xeʔ⁵	xɛ²¹⁴	həʔ⁴	xəʔ²	he⁴¹	xei²¹	
BLACK_2				u⁵⁵															ɔ⁵⁵
BLOOD_1	ɕɥɛ²¹³	ɕje²⁴	ɕɥe²¹	haiʔ²⁴	hyt³	ɕɥe⁵⁵	ɕɥɛ²¹³	ɕjə²¹⁴	ɕɥaʔ³²	swe¹³	çjat¹	ɕɥet⁵	ɕɥeʔ⁵	sjɛ²¹⁴	ɕɥəʔ⁴	ɕɥəʔ²	ɕy⁴¹	ɕjɛ²¹	hwiʔ³²
BLOW (OF WIND)_1	ʈʂʰwei⁵⁵	ʨʰwei³³	ʦʰwei⁴⁵	ʦʰwoi⁵⁵	ʦʰøy⁵⁵	ʦʰwei⁴²	ʦʰwei⁴⁴	ʈʂʰwei²¹⁴	ʨʰy⁵⁵	ʨʰy⁴⁴		ʦʰwi⁴²	ʦʰwei³¹	ʈʂʰwei⁵²	ʦʰɻ̩ʷ⁴⁴	ʦʰwei²¹	ʦʰɹ̩⁴⁴	pfʰei²¹	
BLOW (OF WIND)_2				puŋ⁵³															pun²⁴
BLOW (OF WIND)_3											pʰaŋ³³								
BLUNT_1	tɛ⁵⁵	ŋai¹³				tai⁴²		tɛ²¹⁴		ŋe¹³		tai⁴²	tɛ³¹		ŋe̞¹³	tai²¹	ŋe³⁴¹	tɛ²¹	
BLUNT_2		pən¹¹	pən²¹³		pɐn²²		pən⁵³		pʰõ³¹		pun⁵³		pən⁴⁴			pəŋ⁴⁵	baŋ²²		
BLUNT_3														pjau⁵²					
BLUNT_4												muʔ⁵							
BLUNT_5				ʦu⁵³															
BLUNT_6				kʰy⁵³															
BLUNT_7																			kʰam⁵³
BLUNT_8			kwa⁴⁵																
BONE_1																		ku²¹tou⁰	
BONE_2		ku²⁴təu⁰	ku²¹tʰəu²¹			ku⁵⁵tai²²	ku²¹³tʰou⁰	ku²¹⁴tʰou⁰		ku¹³djɤ¹³	kut¹tʰeu¹¹	kuʔ⁵tʰəu⁰	kuʔ⁵tʰəɯ¹³	ku²¹⁴tʰə⁰	kwəʔ⁴dʏ¹³	kwəʔ²təu⁰	ky⁴²dɤu³⁴¹	ku²¹tʰou⁰	kut³²tʰau²⁴
BONE_3				kɔuʔ²⁴kɔuʔ²⁴															
BONE_4	ku²¹⁴			kɔuʔ²¹	kwɐt⁵				kwɤʔ³²								ky⁴¹		
BREAST_1	ʐu²¹⁴fɑŋ³⁵	y⁴¹fan¹³			y²³fɔŋ²¹	lai²³fɑŋ²²							lu¹¹fɑ̃¹³					vu⁵³fɑŋ²¹	
BREAST_2				nɛiŋ⁵³								lai²¹³			nɑ¹³nɑ¹³	nai⁵³	na²⁴		
BREAST_3							ʦa⁴⁴												
BREAST_4											nen⁵³ku³³								
BREAST_5		lai⁴¹ʦɹ̩⁰					nai²¹³ʦɹ̩⁰	nɛ⁴⁵ʦɹ̩⁰	lɔ³⁵ʦɹ̩⁰					nai²¹⁴ʦɹ̩⁰					
BREAST_6										la³⁵bu¹³									
BREAST_7			lai⁴⁵lai⁵⁵																
BREAST_8																			njæ⁵³jã⁵³
BREAST_9								ma²¹³ma⁰											
BREATHE_1	xu⁵⁵ɕi⁵⁵	fu³³ʨi²⁴	fu⁴⁵ɕi²¹	hu⁵⁵hɛiʔ²⁴	fu⁵⁵kʰɐp⁵		xu⁴⁴ɕi⁴⁴	xu²¹⁴ɕi²¹⁴				fu⁴²ɕit⁵	xu³¹ɕiʔ⁵				fu⁴⁴ɕjai⁴¹	xu²¹ɕi²¹	
BREATHE_2		ʨʰy²⁴ʨʰi⁵⁵				ʦʰwã²³ʨʰi²⁵			tʰi²¹³ʦʰɹ̩³⁵	ʨʰy¹³ʨʰi³⁵	tʰeu⁵³çi⁵³	ɕit⁵ʨʰi²⁴	ʈʂʰwɑ̃¹¹ʨʰi⁴⁴	ʈʂʰɐn²¹⁴cʰjə³³⁴	tʰʏ⁵²ʨʰi⁴¹²	ʦʰwəʔ²ʨʰi⁴⁵	tʰau²⁴²ʦʰɹ̩⁵¹		hɔ⁵⁵kʰi⁵³
BURN_1	ʂɑu⁵⁵	sau³³	sau⁴⁵	sjeu⁵⁵	sju⁵³	sɑu⁴²	ʂau⁴⁴	ʂɔ²¹⁴	ɕjo⁵⁵	ɕjɤ⁴⁴	sau³³	sɛu⁴²	sɔ³¹	ʂau⁵²	sæ⁴⁴	sau²¹	ɕjɛ⁴⁴	ʂɑu²¹	sjo⁵⁵
CHILD (YOUNG HUMAN)_1				nje⁵³jaŋ³²ŋo⁵⁵															
CHILD (YOUNG HUMAN)_10													wɑ¹³ə⁰						
CHILD (YOUNG HUMAN)_11			wa²¹wa²¹													ɕjau⁵³va²¹va²¹~va²¹va²¹			in⁵³na⁵³
CHILD (YOUNG HUMAN)_12			ʦai⁵³ʦai⁵³																
CHILD (YOUNG HUMAN)_13				ha⁵³i⁵³															
CHILD (YOUNG HUMAN)_14											se⁵³ŋin¹¹ne⁰								
CHILD (YOUNG HUMAN)_15																	sei⁵¹ŋ̍⁰		
CHILD (YOUNG HUMAN)_2		xai¹³ʦɹ̩⁰~ŋa¹³sɹ̩⁵⁵ʦɹ̩⁰				ɕi²⁵kwo⁰ʦe²³		xɛ⁵³ʦɹ̩⁰				ɕi⁴⁵ŋa⁰ʦɹ̩⁰	xɛ¹³ʦɹ̩⁰	xai³⁵ʦɹ̩⁰		xai²¹ʦəʔ⁰			
CHILD (YOUNG HUMAN)_3																		wɑ⁴⁴	
CHILD (YOUNG HUMAN)_4															sjæ⁵²ɲin¹³				
CHILD (YOUNG HUMAN)_5									sɹ̩³⁵jɑ̃⁴⁴ko⁵³										
CHILD (YOUNG HUMAN)_6	xɛ³⁵				hai²¹		ɕjau²¹³xa²⁴	xa⁵³				hai²⁴				xai²¹			
CHILD (YOUNG HUMAN)_7							ɕjau²¹³ka⁴⁴												
CHILD (YOUNG HUMAN)_8										ɕi³⁵ko⁰ʣe⁰									
CHILD (YOUNG HUMAN)_9																	mai⁴⁴mai⁴⁴		
CLAW_1		ʦau⁴¹ʦɹ̩⁰				ʦɑu²³ʦe²³	ʈʂwa²¹³ʦɹ̩⁰	ʈʂwa⁴⁵ʦɹ̩⁰	ʦɤ²¹³ʦɹ̩⁰	ʦɤ⁴²ʦɹ̩⁰		ʦwa²¹³ʦɹ̩⁰	ʦwɑ¹¹ʦɹ̩⁰	ʈʂwa²¹⁴ʦɹ̩⁰				pfɑ⁵³ʦɹ̩⁰	
CLAW_2	ʈʂwa̠²¹³	ʦau⁴¹	ʦwa⁵³ʦwa²¹	kʰa⁵⁵ʦau³²~ʦau³²	ʦau³⁵						ʦau³¹				ʨjɑʔ⁴ʦæ⁵²	ʦwa⁵³	ʨja⁴¹ʦwɔ²⁴²		
CLAW_3																			ɡɔ²²njãu⁵³liŋ²⁴
CLOUD_1	yn³⁵	yn¹³	yn²¹	huŋ⁵³	wɐn²¹	yŋ²²		ɥẽ⁵³	ɥɑ̃⁴⁴	un¹³	jun¹¹	yn²⁴	in¹³	yn⁵²	ɦɥən¹³	yŋ²¹	ɥoŋ³⁴¹	ɥẽ²⁴	hun²⁴
CLOUD_2							yn²⁴ʦʰai⁰												
COLD_1	ləŋ²¹⁴	lən⁴¹	nən⁵³		laŋ²³	lei²³	ləŋ²¹³	ləŋ⁴⁵	nẽ²¹³	njɔ̃⁴²	laŋ³³	laŋ²¹³	lən¹¹	ləŋ²¹⁴	la²³¹	ləŋ⁵³	ljɛ²⁴²	ləŋ⁵³	liŋ⁵³
COLD_2				tɔyŋ²¹²															
COLD_3				kaŋ⁵³															kwã²⁴
COLD_4				ʦʰiŋ²¹²															ʦʰin²¹
COME_1	lɛ³⁵	lai¹³	lai²¹	li³²	lɔi²¹	lai²²	lai²⁴	lɛ⁵³	na⁴⁴	le¹³	loi¹¹	lai⁴⁵	nɛ¹³	lai³⁵	le̞¹³	lai²¹	ʦau²⁴²lo⁰	lɛ²⁴	lai²⁴
CORRECT (RIGHT)_1	twei⁵¹	tei⁵⁵	twei²¹³		tøy³³	tei²⁵	twei⁵³	twei³¹	ta³⁵	twe³⁵	twi⁵³	twi⁴⁵	twei⁴⁴	tei³³⁴	te̞⁴¹²	twei⁴⁵	tai⁵¹	twei⁴⁴	twi²¹
CORRECT (RIGHT)_2				mo⁵³laŋ²⁴²															
COUNT_1	ʂu²¹³	səu⁴¹	su⁵³	sou²¹²	sou³⁵	su²⁵	ʂu²¹³	ʂu⁴⁵	su²¹³	sɤu⁴²	sɹ̩⁵³	su²¹³	su¹¹	ʃu³³⁴	səu⁵²	su⁵³		sou⁵³	sɔ²¹
COUNT_2																	ti²⁴		
CUT_1											sat¹								
CUT_2			ʦai⁵³																
CUT_3	kʰan²¹⁴	kʰan⁴¹	kʰan⁵³	kʰaŋ³²	hɐm³⁵	kʰã²³	kʰan²¹³	kʰæ̃⁴⁵				kʰan²¹³	kʰɑ̃¹¹	kʰɐn²¹⁴		kʰæ̃⁵³		kʰæ̃⁵³	kʰam⁵³
CUT_4									ʦoʔ³²	ʨjo³⁵									
CUT_5															ʦe̞⁴⁴				
CUT_6																	tɤu⁵¹		
CUT_7				ʦʰɔy²¹²															
DAY (NOT NIGHT)_1																	ne²¹		
DAY (NOT NIGHT)_2	tʰjɛn⁵⁵	tʰjẽ³³	tʰjɛn⁴⁵	tʰjeŋ⁵⁵	tʰin⁵³	tʰjã⁴²	tʰjan⁴⁴	tʰjæ̃²¹⁴	tʰẽ⁵⁵	tʰjæ⁴⁴	tʰjen³³	tʰjɛn⁴²	tʰjen³¹	tʰjɐn⁵²	tʰjɪ⁴⁴	tʰje²¹		tʰjæ̃²¹	tʰjæ⁵⁵
DIE_1		tan¹³sɹ̩⁵⁵lan¹³																	
DIE_2	sɹ̩²¹³	sɹ̩⁴¹	sɹ̩⁵³	si³²	sei³⁵	sɹ̩²³	sɹ̩²¹³	sɹ̩⁴⁵	sɹ̩²¹³	sɹ̩⁴²	sɹ̩³¹	sɹ̩²¹³	sɹ̩¹¹	sɹ̩²¹⁴	si⁵²	sɹ̩⁵³	sɹ̩²⁴²	sɹ̩⁵³	si⁵³
DIE_3		kwa³³																	
DIG_1	wa̠⁵⁵	wa²⁴	wa⁴⁵	waʔ²⁴	wat³	wa̠⁵⁵	wa⁴⁴	va²¹⁴	vaʔ³²	wa¹³	vat¹	wa⁴²	wɑ³¹	wa²¹³	waʔ⁴	va²¹		wɑ²¹	
DIG_2			pʰau²¹																
DIG_3			ʦwa²¹																
DIG_4																	lau⁴⁴		
DIG_5																			ɔ⁵³
DIRTY_1	ʦɑŋ⁵⁵	ʦan³³	ʦaŋ⁴⁵				ʦaŋ⁴⁴	ʦɑŋ²¹⁴				ʦɔŋ⁴²	ʦɑ̃³¹	ʦaŋ⁵²		ʦɒ̃²¹		ʦɑŋ²¹	
DIRTY_10				ouʔ⁵ʦʰwoʔ²⁴															
DIRTY_11																			lau²⁴sjɔŋ²⁴
DIRTY_12											me⁵³								
DIRTY_13									voʔ³²lo³¹										
DIRTY_2							mai²⁴tʰai⁰												
DIRTY_3		la²⁴tʰa²⁴	la²¹tʰa²¹			la̠⁵⁵tʰa̠²¹													
DIRTY_4			nəu²¹səu⁵⁵																
DIRTY_5															oʔ⁴ʦʰoʔ⁴				
DIRTY_6					u⁵⁵ʦou⁵³												ə⁴⁴ʦə⁴⁴		
DIRTY_7										pʰa³⁵la¹¹									
DIRTY_8												ŋa⁴²ʦa⁰							
DIRTY_9				la⁵⁵ʦʰa⁵⁵															
DOG_1	kou²¹⁴	kəu⁴¹	kəu⁵³		kɐu³⁵	kai²³	kou²¹³	kou⁴⁵	ki²¹³	tjɤ⁴²	keu³¹	kjɛu²¹³	kəɯ¹¹	kou²¹³	kʏ⁵²	kəu⁵³	kau²⁴²	kou⁵³	kau⁵³
DOG_2				kʰɛiŋ³²															
DOG_3				kʰɛiŋ³²ŋjaŋ³²															
DRINK_1		ʨʰja²⁴								ʨʰjɔ¹³					ʨʰjəʔ⁴				
DRINK_2				sjøʔ⁵							sət⁵								
DRINK_3					jɐm³⁵														
DRINK_4	xɤ⁵⁵	xo²⁴	xo⁴⁵			xwo⁵⁵	xɤ⁴⁴	xɤ²¹⁴	xɤ⁵⁵			hot²	xoʔ⁵	xa²¹⁴		xəʔ²	ha⁴¹	xwo²¹	
DRINK_5															haʔ⁴				
DRINK_6				ʦʰwoʔ²⁴															
DRINK_7																			lim⁵⁵
DRY_1	kan⁵⁵	kan³³	kan⁴⁵	kaŋ⁵⁵	kɔn⁵³	kã²³	kan⁴⁴	kæ̃²¹⁴	kɔ⁵⁵	kã⁴⁴	kon³³	kon⁴²	kɑ̃³¹	kɐn³³⁴	kø⁴⁴	kæ̃²¹	ky⁴⁴	kæ̃²¹	
DRY_2																	sə⁵¹		
DRY_3				ta⁵⁵															ta⁵⁵
DUST_1			ʦa⁴⁵ʦɹ̩⁵³																
DUST_2	ʈʂʰən³⁵tʰu²¹⁴						ʈʂʰən²⁴tʰu²¹³		ʨʰjɑ̃⁴⁴tʰu²¹³			ʦʰɛn²⁴tʰu²¹³				ʦʰəŋ²¹tʰu⁵³		ʈʂʰẽ²⁴tʰou⁵³	
DUST_3		fei³³ʦən¹³		uŋ⁵⁵niŋ⁵³	fwi⁵³ʦʰɐn²¹	fei⁴²ʦɤn²²			fa⁵⁵ʨʰjɑ̃⁴⁴		ʦʰən¹¹	fɨi⁴²ʦʰɛn⁰	xwei³¹ʦʰən¹³		hwe̞⁴⁴zən¹³	xwei²¹ʦʰəŋ²¹	baŋ³⁴¹ʣaŋ³⁴¹	ʈʂʰẽ²⁴~xwei²¹ʈʂʰẽ²⁴	
DUST_4								tʰu⁴⁵la⁰											
DUST_5										xwe⁴⁴			xwei³¹	xwei⁵²					
DUST_6																			tʰɔ²⁴hun⁵³
DUST_7			ʦa⁴⁵ʦa⁵⁵																
EARTH (SOIL)_1															di²³¹bi¹³				
EARTH (SOIL)_2	tʰu²¹³ti⁵¹	tʰəu⁴¹ti¹¹	tʰu⁵³ti²¹³~ti²¹³	tʰu⁵³lɛi²⁴²	tʰou³⁵tei²²	tʰu²³ti²¹	tʰu²¹³ti⁵³	tʰu⁴⁵ti³¹	ʦʰɹ̩³¹~tʰu²¹³ʦʰɹ̩³¹	tʰɤu⁴²di¹¹~di¹¹	tʰu³¹tʰi⁵³	tʰu²¹³tʰi⁴²	ti⁴⁴~tʰu¹¹ti⁴⁴	tʰu²¹³ti³³⁴	tʰəu⁵²di²³¹	tʰu⁵³ti⁴⁵~ti⁴⁵	tʰøy²⁴²dei²²	tʰou⁵³ti⁴⁴~ti⁴⁴	tʰɔ⁵³twe²²
EAR_1	ə²¹⁴	ə⁴¹	ə⁵³	ŋɛi²⁴²												ə⁵³		ə⁵³	
EAR_2		ə⁴¹to⁰	ə⁵³to⁵⁵			y²³tu²³	ə²¹³two⁰	ə⁴⁵twɤ⁰	ẽ²¹³tɵ²¹³	ɤ⁴²tɤ⁰		ɵ²¹³tɔ⁰	ə¹¹to⁴⁴	ə²¹⁴tə⁰	ɲ²³¹təu⁵²	ə⁵³twɤ⁰	ŋ̍²⁴to²⁴²	ə⁵³two⁰	
EAR_3																			hi²²ja⁵³
EAR_4											ŋi³¹kuŋ³³								
EAR_5					i²³ʦɐi³⁵														
EAT_1	ʈʂʰɻ̩⁵⁵		ʦʰɹ̩²¹			ʨʰi⁵⁵	ʈʂʰɻ̩⁴⁴	ʈʂʰɻ̩²¹⁴	ʨʰjeʔ³²				ʈʂʰɻ̩ʔ⁵			ʦʰəʔ²	ʦʰɹ̩⁴¹	ʈʂʰɻ̩²¹	
EAT_2														tai²¹⁴					
EAT_3		ʨʰja²⁴								ʨʰjɔ¹³		ʨʰjaʔ⁵			ʨʰjəʔ⁴				
EAT_4				sjeʔ⁵	sek²						sət⁵								ʦjaʔ⁵
