Dataset	Family	Name	Source Name	Glottolog Name	Glottocode	ISO 639-3	ISO 639-3 Name	Reference	Notes
NorthEuraLex	Indo-European, Indo-Iranian, Iranian	Western Farsi	Western Farsi	Western Farsi	west2369	pes	Iranian Persian	Dellert et al., 2019	
NorthEuraLex	Indo-European, Italic	Catalan	Catalan	Catalan	stan1289	cat	Catalan; Valencian	Dellert et al., 2019	
NorthEuraLex	Indo-European, Italic	French	French	French	stan1290	fra	French	Dellert et al., 2019	
NorthEuraLex	Indo-European, Italic	Italian	Italian	Italian	ital1282	ita	Italian	Dellert et al., 2019	
NorthEuraLex	Indo-European, Italic	Latin	Latin	Latin	lati1261	lat	Latin	Dellert et al., 2019	
NorthEuraLex	Indo-European, Italic	Portuguese	Portuguese	Portuguese	port1283	por	Portuguese	Dellert et al., 2019	
NorthEuraLex	Indo-European, Italic	Romanian	Romanian	Romanian	roma1327	ron	Romanian	Dellert et al., 2019	
NorthEuraLex	Indo-European, Italic	Spanish	Spanish	Spanish	stan1288	spa	Spanish	Dellert et al., 2019	
NorthEuraLex	Japonic, Japanesic	Japanese	Japanese	Japanese	nucl1643	jpn	Japanese	Dellert et al., 2019	
NorthEuraLex	Kartvelian, Georgian-Zan	Georgian	Georgian	Georgian	nucl1302	kat	Georgian	Dellert et al., 2019	
NorthEuraLex	Koreanic, Korean	Korean	Korean	Korean	kore1280	kor	Korean	Dellert et al., 2019	
NorthEuraLex	Mongolic, Eastern Mongolic	Buryat	Buryat	Buriat	buri1258	bua	Buriat	Dellert et al., 2019	
NorthEuraLex	Mongolic, Eastern Mongolic	Kalmyk	Kalmyk	Oirad-Kalmyk-Darkhat	kalm1243	xal	Oirat	Dellert et al., 2019	
NorthEuraLex	Mongolic, Eastern Mongolic	Khalkha Mongolian	Khalkha Mongolian	Halh Mongolian	halh1238	khk	Halh Mongolian	Dellert et al., 2019	
NorthEuraLex	Nakh-Daghestanian, Daghestanian	Avar	Avar	Avar	avar1256	ava	Avaric	Dellert et al., 2019	
NorthEuraLex	Nakh-Daghestanian, Daghestanian	Dargwa	Dargwa	North-Central Dargwa	darg1241	dar	Dargwa	Dellert et al., 2019	
NorthEuraLex	Nakh-Daghestanian, Daghestanian	Lak	Lak	Lak	lakk1252	lbe	Lak	Dellert et al., 2019	
NorthEuraLex	Nakh-Daghestanian, Daghestanian	Lezgian	Lezgian	Lezgian	lezg1247	lez	Lezghian	Dellert et al., 2019	
NorthEuraLex	Nakh-Daghestanian, Daghestanian	Tsez	Tsez	Tsez	dido1241	ddo	Dido	Dellert et al., 2019	
NorthEuraLex	Nakh-Daghestanian, Nakh	Chechen	Chechen	Chechen	chec1245	che	Chechen	Dellert et al., 2019	
NorthEuraLex	Nivkh, Nivkh	Nivkh	Nivkh	Amur Nivkh	gily1242	niv	Gilyak	Dellert et al., 2019	
NorthEuraLex	Sino-Tibetan, Sinitic	Mandarin Chinese	Mandarin Chinese	Mandarin Chinese	mand1415	cmn	Mandarin Chinese		
NorthEuraLex	Tungusic, Central Tungusic	Nanai	Nanai	Nanai	nana1257	gld	Nanai	Dellert et al., 2019	
NorthEuraLex	Tungusic, Manchu-Jurchen	Manchu	Manchu	Manchu	manc1252	mnc	Manchu	Dellert et al., 2019	
NorthEuraLex	Tungusic, Northern Tungusic	Evenki	Evenki	Evenki	even1259	evn	Evenki	Dellert et al., 2019	
NorthEuraLex	Turkic, Bolgar	Chuvash	Chuvash	Chuvash	chuv1255	chv	Chuvash	Dellert et al., 2019	
NorthEuraLex	Turkic, Kipchak	Bashkir	Bashkir	Bashkir	bash1264	bak	Bashkir	Dellert et al., 2019	
NorthEuraLex	Turkic, Kipchak	Kazakh	Kazakh	Kazakh	kaza1248	kaz	Kazakh	Dellert et al., 2019	
NorthEuraLex	Turkic, Kipchak	Tatar	Tatar	Tatar	tata1255	tat	Tatar	Dellert et al., 2019	
NorthEuraLex	Turkic, North Siberian Turkic	Sakha	Sakha	Sakha	yaku1245	sah	Yakut	Dellert et al., 2019	
NorthEuraLex	Turkic, Oghuz	North Azerbaijani	North Azerbaijani	North Azerbaijani	nort2697	azj	North Azerbaijani	Dellert et al., 2019	
NorthEuraLex	Turkic, Oghuz	Turkish	Turkish	Turkish	nucl1301	tur	Turkish	Dellert et al., 2019	
NorthEuraLex	Turkic, Turkestan Turkic	Northern Uzbek	Northern Uzbek	Northern Uzbek	nort2690	uzn	Northern Uzbek	Dellert et al., 2019	
NorthEuraLex	Uralic, Finnic	Estonian	Estonian	Estonian	esto1258	ekk	Standard Estonian	Dellert et al., 2019	
NorthEuraLex	Uralic, Finnic	Finnish	Finnish	Finnish	finn1318	fin	Finnish	Dellert et al., 2019	
NorthEuraLex	Uralic, Finnic	Livonian	Livonian	Liv	livv1244	liv	Liv	Dellert et al., 2019	
NorthEuraLex	Uralic, Finnic	North Karelian	North Karelian	Karelian	kare1335	krl	Karelian	Dellert et al., 2019	
NorthEuraLex	Uralic, Finnic	Olonets Karelian	Olonets Karelian	Livvi	livv1243	olo	Livvi	Dellert et al., 2019	
NorthEuraLex	Uralic, Finnic	Veps	Veps	Veps	veps1250	vep	Veps	Dellert et al., 2019	
NorthEuraLex	Uralic, Ugric, Hungarian	Hungarian	Hungarian	Hungarian	hung1274	hun	Hungarian	Dellert et al., 2019	
NorthEuraLex	Uralic, Ugric, Khantyic	Northern Khanty	Northern Khanty	Kazym-Berezover-Suryskarer Khanty	khan1273	kca	Khanty	Dellert et al., 2019	
NorthEuraLex	Uralic, Ugric, Mansic	Northern Mansi	Northern Mansi	Northern Mansi	mans1258	mns	Mansi	Dellert et al., 2019	
NorthEuraLex	Uralic, Mari	Hill Mari	Hill Mari	Western Mari	west2392	mrj	Western Mari	Dellert et al., 2019	
NorthEuraLex	Uralic, Mari	Meadow Mari	Meadow Mari	Eastern Mari	east2328	mhr	Eastern Mari	Dellert et al., 2019	
NorthEuraLex	Uralic, Mordvin	Erzya	Erzya	Erzya	erzy1239	myv	Erzya	Dellert et al., 2019	
NorthEuraLex	Uralic, Mordvin	Moksha	Moksha	Moksha	moks1248	mdf	Moksha	Dellert et al., 2019	
NorthEuraLex	Uralic, Permian	Komi-Permyak	Komi-Permyak	Komi-Permyak	komi1269	koi	Komi-Permyak	Dellert et al., 2019	
NorthEuraLex	Uralic, Permian	Komi-Zyrian	Komi-Zyrian	Komi-Zyrian	komi1268	kpv	Komi-Zyrian	Dellert et al., 2019	
NorthEuraLex	Uralic, Permian	Udmurt	Udmurt	Udmurt	udmu1245	udm	Udmurt	Dellert et al., 2019	
NorthEuraLex	Uralic, Saami	Inari Sami	Inari Sami	Inari Saami	inar1241	smn	Inari Sami	Dellert et al., 2019	
NorthEuraLex	Uralic, Saami	Kildin Sami	Kildin Sami	Kildin Saami	kild1236	sjd	Kildin Sami	Dellert et al., 2019	
NorthEuraLex	Uralic, Saami	Lule Sami	Lule Sami	Lule Saami	lule1254	smj	Lule Sami	Dellert et al., 2019	
NorthEuraLex	Uralic, Saami	Northern Sami	Northern Sami	North Saami	nort2671	sme	Northern Sami	Dellert et al., 2019	
NorthEuraLex	Uralic, Saami	Skolt Sami	Skolt Sami	Skolt Saami	skol1241	sms	Skolt Sami	Dellert et al., 2019	
NorthEuraLex	Uralic, Saami	Southern Sami	Southern Sami	South Saami	sout2674	sma	Southern Sami	Dellert et al., 2019	
NorthEuraLex	Uralic, Samoyedic	Forest Enets	Forest Enets	Forest Enets	fore1265	enf	Forest Enets	Dellert et al., 2019	
NorthEuraLex	Uralic, Samoyedic	Nganasan	Nganasan	Nganasan	ngan1291	nio	Nganasan	Dellert et al., 2019	
NorthEuraLex	Uralic, Samoyedic	Northern Selkup	Northern Selkup	Selkup	selk1253	sel	Selkup	Dellert et al., 2019	
NorthEuraLex	Uralic, Samoyedic	Tundra Nenets	Tundra Nenets	Tundra Nenets	nene1249	yrk	Nenets	Dellert et al., 2019	
NorthEuraLex	Yeniseian, Northern Yeniseian	Ket	Ket	Ket	kett1243	ket	Ket	Dellert et al., 2019	
NorthEuraLex	Yukaghir, Kolymic	Southern Yukaghir	Southern Yukaghir	Southern Yukaghir	sout2750	yux	Southern Yukaghir	Dellert et al., 2019	
NorthEuraLex	Yukaghir, Northern Yukaghir	Northern Yukaghir	Northern Yukaghir	Northern Yukaghir	nort2745	ykg	Northern Yukaghir	Dellert et al., 2019	
Polynesian	Austronesian, Polynesian	Proto-Polynesian	Polynesian	Polynesian	poly1242			Walworth, 2018	
Polynesian	Austronesian, Polynesian, Anuta	Anuta	Anuta	Anuta	anut1237	aud	Anuta	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Carolinean Outlier Polynesian	Kapingamarangi	Kapingamarangi	Kapingamarangi	kapi1249	kpg	Kapingamarangi	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Futuna	East Futuna	EastFutuna	East Futuna	east2447	fud	East Futuna	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Polynesian	Austral A	AustralA	Austral	aust1304	aut	Austral	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Polynesian	Austral B	AustralB	Austral	aust1304	aut	Austral	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Polynesian	Hawaiian	Hawaiian	Hawaiian	hawa1245	haw	Hawaiian	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Polynesian	Mangareva	Mangareva	Mangareva	mang1401	mrv	Mangareva	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Polynesian	Maori	Maori	Maori	maor1246	mri	Maori	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Polynesian	North Marquesan	NorthMarquesan	North Marquesan	nort2845	mrq	North Marquesan	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Polynesian	Penrhyn	Penrhyn	Māngarongaro	penr1237	pnh	Penrhyn	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Polynesian	RakahangaManihiki	RakahangaManihiki	Rakahanga-Manihiki	raka1237	rkh	Rakahanga-Manihiki	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Polynesian	Rapanui	Rapanui	Rapanui	rapa1244	rap	Rapanui	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Polynesian	Rarotongan	Rarotongan	Southern Cook Island Maori	raro1241	rar	Rarotongan	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Polynesian	Tahitian	Tahitian	Tahitian	tahi1242	tah	Tahitian	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Polynesian	Tuamotuan	Tuamotuan	Tuamotuan	tuam1242	pmt	Tuamotuan	Walworth, 2018	
Polynesian	Austronesian, Polynesian, East Uvean-Niuafo'ou	Wallisian	Wallisian	East Uvean	wall1257	wls	Wallisian	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Ellicean	Samoan	Samoan	Samoan	samo1305	smo	Samoan	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Ellicean	Tuvalu	Tuvalu	Tuvalu	tuva1244	tvl	Tuvalu	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Pukapuka	Pukapuka	Pukapuka	Pukapuka	puka1242	pkp	Pukapuka	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Rennell-Bellona	RennellBellona	RennellBellona	Rennell-Bellona	renn1242	mnv	Rennell-Bellona	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Solomons Northern Outlier Polynesian	Luangiua	Luangiua	Luangiua	onto1237	ojv	Ontong Java	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Solomons Northern Outlier Polynesian	Nukuria	Nukuria	Nukuria	nuku1259	nur	Nukuria	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Solomons Northern Outlier Polynesian	Sikaiana	Sikaiana	Sikaiana	sika1261	sky	Sikaiana	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Tikopia	Tikopia	Tikopia	Tikopia	tiko1237	tkp	Tikopia	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Tongic	Niuean	Niuean	Niuean	niue1239	niu	Niuean	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Tongic	Tongan	TongatongaIslands	Tonga (Tonga Islands)	tong1325	ton	Tonga (Tonga Islands)	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Vaeakau-Taumako	Vaeakau-Taumako	VaeakauTaumako	Vaeakau-Taumako	pile1238	piv	Vaeakau-Taumako	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Vanuatu-Loyalty Outliers	Emae	Emae	Emae	emae1237	mmw	Emae	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Vanuatu-Loyalty Outliers	Futuna-Aniwa	FutunaAniwa	Futuna-Aniwa	futu1245	fut	Futuna-Aniwa	Walworth, 2018	
Polynesian	Austronesian, Polynesian, Vanuatu-Loyalty Outliers	Mele-Fila	MeleFila	Mele-Fila	mele1250	mxe	Mele-Fila	Walworth, 2018	
Sinitic	Sino-Tibetan, Sinitic, Gan	Nanchang	Nanchang	Nanchang	nanc1254	gan	Gan Chinese	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Hakka	Meixian	Meixian	Meixian	yuet1238	hak	Hakka Chinese	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Hui	Jixi	Jixi	Jixi	jixi1238	czh	Huizhou Chinese	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Jin	Taiyuan	Taiyuan	Taiyuan	taiy1243	cjy	Jinyu Chinese	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Mandarin	Beijing	Beijing	Beijing Mandarin	beij1234	cmn	Mandarin Chinese	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Mandarin	Chengdu	Chengdu	Chengdu Mandarin	chen1267	cmn	Mandarin Chinese	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Mandarin	Ha'erbin	Haerbin	Ha'erbin Mandarin	haer1234	cmn	Mandarin Chinese	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Mandarin	Jinan	Jinan	Jinan Mandarin	jina1245	cmn	Mandarin Chinese	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Mandarin	Nanjing	Nanjing	Nanjing Mandarin	nanj1234	cmn	Mandarin Chinese	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Mandarin	Rongcheng	Rongcheng	Rongcheng Mandarin	rong1271	cmn	Mandarin Chinese	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Mandarin	Xi'an	XiAn	Xi'an Mandarin	xian1253	cmn	Mandarin Chinese	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Min	Fuzhou	Fuzhou	Houguan	fuzh1239	cdo	Min Dong Chinese	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Min	Xiamen	Xiamen	Xiamen	xiam1236	cdo	Min Dong Chinese	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Pinghua	Guilin	Guilin	Guilin Pinghua	guil1241	cnp	Northern Pinghua	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Wu	Suzhou	Suzhou	Suzhou	suzh1234	wuu	Wu Chinese	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Wu	Wenzhou	Wenzhou	Wenzhou	ouji1238	wuu	Wu Chinese	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Xiang	Changsha	Changsha	Changsha	chan1326	hsn	Xiang Chinese	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Xiang	Loudi	Loudi	Loudi	loud1234	hsn	Xiang Chinese	Líu et al., 2007	
Sinitic	Sino-Tibetan, Sinitic, Yue	Guangzhou	Guangzhou	Guangzhou	guan1279	yue	Yue Chinese	Líu et al., 2007	
Turkic	Turkic, Bolgar	Chuvash	Chuvash	Chuvash	chuv1255	chv	Chuvash	Savelyev & Robbeets (2020)	
Turkic	Turkic, Central Siberian Turkic	Baraba Tatar	BarabaTatar	Baraba	bara1273	sty	Siberian Tatar	Savelyev & Robbeets (2020)	
Turkic	Turkic, Khalaj	Khalaj	Khalaj	Turkic Khalaj	turk1303	klj	Khalaj	Savelyev & Robbeets (2020)	
Turkic	Turkic, Kipchak	Bashkir	Bashkir	Bashkir	bash1264	bak	Bashkir	Savelyev & Robbeets (2020)	
Turkic	Turkic, Kipchak	Crimean Tatar	CrimeanTatar	Crimean Tatar	crim1257	crh	Crimean Turkish	Savelyev & Robbeets (2020)	
Turkic	Turkic, Kipchak	Kara-Kalpak	KaraKalpak	Kara-Kalpak	kara1467	kaa	Kara-Kalpak	Savelyev & Robbeets (2020)	
Turkic	Turkic, Kipchak	Karachay-Balkar	KarachayBalkar	Karachay-Balkar	kara1465	krc	Karachay-Balkar	Savelyev & Robbeets (2020)	
Turkic	Turkic, Kipchak	Karaim	Karaim	Karaim	kara1464	kdr	Karaim	Savelyev & Robbeets (2020)	
Turkic	Turkic, Kipchak	Kazakh	Kazakh	Kazakh	kaza1248	kaz	Kazakh	Savelyev & Robbeets (2020)	
Turkic	Turkic, Kipchak	Kumyk	Kumyk	Kumyk	kumy1244	kum	Kumyk	Savelyev & Robbeets (2020)	
Turkic	Turkic, Kipchak	Kyrgyz	Kirghiz	Kirghiz	kirg1245	kir	Kyrgyz	Savelyev & Robbeets (2020)	
Turkic	Turkic, Kipchak	Middle Kipchak	CodexCumanicus					Savelyev & Robbeets (2020)	
Turkic	Turkic, Kipchak	Nogai	Nogai	Nogai	noga1249	nog	Nogai	Savelyev & Robbeets (2020)	
Turkic	Turkic, Kipchak	Southern Altai	SouthAltai	Altai-Kizi	alta1277	alt	Southern Altai	Savelyev & Robbeets (2020)	Viryal dialect
Turkic	Turkic, Kipchak	Tatar	KazanTatar	Kazan Tatar	kaza1250	tat	Tatar	Savelyev & Robbeets (2020)	
Turkic	Turkic, North Siberian Turkic	Dolgan	Dolgan	Dolgan	dolg1241	dlg	Dolgan	Savelyev & Robbeets (2020)	
Turkic	Turkic, North Siberian Turkic	Yakut	Yakut	Sakha	yaku1245	sah	Yakut	Savelyev & Robbeets (2020)	
Turkic	Turkic, Oghuz	Azerbaijani	Azeri	North Azerbaijani	nort2697	azj	North Azerbaijani	Savelyev & Robbeets (2020)	
Turkic	Turkic, Oghuz	Gagauz	Gagauz	Gagauz	gaga1249	gag	Gagauz	Savelyev & Robbeets (2020)	
Turkic	Turkic, Oghuz	Salar	Salar	Salar	sala1264	slr	Salar	Savelyev & Robbeets (2020)	
Turkic	Turkic, Oghuz	Turkish	Turkish	Turkish	nucl1301	tur	Turkish	Savelyev & Robbeets (2020)	Dialects of Halych and Trakai
Turkic	Turkic, Oghuz	Turkmen	Turkmen	Turkmen	turk1304	tuk	Turkmen	Savelyev & Robbeets (2020)	
Turkic	Turkic, South Siberian Turkic	Chulym	MiddleChulym	Middle Chulym Turkic	midd1324	clw	Chulym	Savelyev & Robbeets (2020)	
Turkic	Turkic, South Siberian Turkic	Khakas	Khakas	Khakas	khak1248	kjh	Khakas	Savelyev & Robbeets (2020)	
Turkic	Turkic, South Siberian Turkic	Northern Altai	NorthAltai	Chelkan	chel1242	atv	Northern Altai	Savelyev & Robbeets (2020)	Middle Kipchak variety attested in the Codex Cumanicus manuscript, dating from the early 14th century AD
Turkic	Turkic, South Siberian Turkic	Shor	Shor	Shor	shor1247	cjs	Shor	Savelyev & Robbeets (2020)	
Turkic	Turkic, South Siberian Turkic	Tofa	Tofa	Tofa	tofa1248	kim	Karagas	Savelyev & Robbeets (2020)	Altay-Kiži dialect
Turkic	Turkic, South Siberian Turkic	Tuvan	Tuvan	Tuvinian	tuvi1240	tyv	Tuvinian	Savelyev & Robbeets (2020)	
Turkic	Turkic, South Siberian Turkic	West Yugur	SarygYugur	West Yugur	west2402	ybe	West Yugur	Savelyev & Robbeets (2020)	
Turkic	Turkic, Turkestan Turkic	Old Turkic	OldTurkic	Old Turkic	oldu1238	oui	Old Uighur	Savelyev & Robbeets (2020)	Sakha
Turkic	Turkic, Turkestan Turkic	Uyghur	Uyghur	Uighur	uigh1240	uig	Uyghur	Savelyev & Robbeets (2020)	
Turkic	Turkic, Turkestan Turkic	Uzbek	Uzbek	Uzbek	uzbe1247	uzb	Uzbek	Savelyev & Robbeets (2020)	
Uralic	Uralic	Proto-Uralic	Proto-Uralic*					De Heer et al.; Syrjänen	
Uralic	Uralic, Saami	South Saami	South Saami	South Saami	sout2674	sma	Southern Sami	De Heer et al.; Syrjänen	
Uralic	Uralic, Saami	Ume Saami	Ume Saami	Ume Saami	umes1235	sju	Ume Sami	De Heer et al.; Syrjänen	
Uralic	Uralic, Saami	Pite Saami	Pite Saami	Pite Saami	pite1240	sje	Pite Sami	De Heer et al.; Syrjänen	
Uralic	Uralic, Saami	North Saami	North Saami	North Saami	nort2671	sme	Northern Sami	De Heer et al.; Syrjänen	
Uralic	Uralic, Saami	Inari Saami	Inari Saami	Inari Saami	inar1241	smn	Inari Sami	De Heer et al.; Syrjänen	Chelkan dialect
Uralic	Uralic, Saami	Skolt Saami	Skolt Saami	Skolt Saami	skol1241	sms	Skolt Sami	De Heer et al.; Syrjänen	
Uralic	Uralic, Saami	Kildin Saami	Kildin Saami	Kildin Saami	kild1236	sjd	Kildin Sami	De Heer et al.; Syrjänen	
Uralic	Uralic, Finnic	Finnish	Standard Finnish	Finnish	finn1318	fin	Finnish	De Heer et al.; Syrjänen	
Uralic	Uralic, Finnic	Karelian	Karelian Proper	Karelian	kare1335	krl	Karelian	De Heer et al.; Syrjänen	West Yugur, Yellow Uyghur
Uralic	Uralic, Finnic	Veps	Veps	Veps	veps1250	vep	Veps	De Heer et al.; Syrjänen	Old Uyghur texts from the 9th century AD
Uralic	Uralic, Finnic	Ingrian	Ingrian	Ingrian	ingr1248	izh	Ingrian	De Heer et al.; Syrjänen	
Uralic	Uralic, Finnic	Votic	Western Votic	West Vod	west2391	vot	Votic	De Heer et al.; Syrjänen	
Uralic	Uralic, Finnic	Estonian	Standard Estonian	Estonian	esto1258	ekk	Standard Estonian	De Heer et al.; Syrjänen	
Uralic	Uralic, Finnic	Võro	Võro South Estonian	South Estonian	sout2679	vro	Võro	De Heer et al.; Syrjänen	
Uralic	Uralic, Finnic	Livonian	Courland Livonian	Courland Livonian	west1760	liv	Liv	De Heer et al.; Syrjänen	
Uralic	Uralic, Mordvin	Erzya	Erzya	Erzya	erzy1239	myv	Erzya	De Heer et al.; Syrjänen	
Uralic	Uralic, Mari	Mari	Meadow Mari	Eastern Mari	east2328	mhr	Eastern Mari	De Heer et al.; Syrjänen	
Uralic	Uralic, Permic	Komi-Zyrian	Komi-Zyrian	Komi-Zyrian	komi1268	kpv	Komi-Zyrian	De Heer et al.; Syrjänen	
Uralic	Uralic, Permic	Komi-Permyak	Komi-Permyak	Komi-Permyak	komi1269	koi	Komi-Permyak	De Heer et al.; Syrjänen	
Uralic	Uralic, Permic	Udmurt	Udmurt	Udmurt	udmu1245	udm	Udmurt	De Heer et al.; Syrjänen	
Uralic	Uralic, Ugric, Hungarian	Hungarian	Hungarian	Hungarian	hung1274	hun	Hungarian	De Heer et al.; Syrjänen	
Uralic	Uralic, Ugric, Mansic	Mansi	Sosva Mansi	Sosva Mansi	nort2677	mns	Mansi	De Heer et al.; Syrjänen	
Uralic	Uralic, Ugric, Khantyic	Khanty	Vakh-Vasyugan Khanty	Vach-Vasjugan	fare1244			De Heer et al.; Syrjänen	
Uralic	Uralic, Samoyedic	Nganasan	Nganasan	Nganasan	ngan1291	nio	﻿Nganasan	De Heer et al.; Syrjänen	
Uralic	Uralic, Samoyedic	Tundra Nenets	Tundra Nenets	Tundra Nenets	nene1249	yrk	﻿Nenets	De Heer et al.; Syrjänen	
Uralic	Uralic, Samoyedic	Selkup	Selkup	Taz-Turukhan	tazz1244	sel	﻿Selkup	De Heer et al.; Syrjänen	
