	Arem	Chứt (Mày)	Chứt (Rục)	Chứt (Sách)	Hung (Liha)	Hung (Phong)	Hung (Toum)	Maleng	Mương (Hòa Bình)	Mương (Sơn La)	Nguồn	Thavưng	Thổ	Vietnamese
ARM OR HAND_1	tʰiː	ɕi¹	si	siː¹	səi	siː	sei	sɪ³	tʰaj¹	saj¹	tăj¹	siː	siː¹	tai̯³³
ASH_1	ʈɤː	tapɛh¹	tăpɛh		buːɲ	buːn	buːɲ	buɳ³	puːɲ¹	buːɲ¹	vun¹	buːɲ³	plɒː¹	ʈɔː³³
BACK_1		nul⁴	nuol	nuːl⁴										
BACK_2	roŋˀ				lɔŋ	kʰlɨŋ	lʌŋ	takɒŋ³	lɨŋ¹	ləŋ¹	lɨŋ¹	kɔːŋ¹		lɨŋ³³
BARK_1						kdoːk			pɔː⁵	pɔː⁵	pɔ⁵¹		pɒː⁵	vɔː²¹⁴
BARK_2	aɗaˀsʰelːʔ	kupɔk³	kăduhkəʌj					kʰalɒk³⁴				kʰabɔh¹		
BELLY OR STOMACH_1		kuɗɤ̆l¹	kdəl	kudəl¹								kʰaʔal		
BELLY OR STOMACH_2	puŋ				poŋ	kluŋ	poŋ	ɬɔ̰c³⁴	kloːŋ⁴	ploːŋ⁴⁵	puŋ⁴		duːl³	ɓuŋ͡m²¹²
BIG_1					neː	neː	niː					ʔih		
BIG_2		mɤ̤̆m²	mə̯am					kḛ³⁴³			nə̆j⁴			ləːŋ⁴⁵
BIG_3	katɛ̆h													
BIRD_1	iʨiːm	ʔacim¹	ĭcim	ciːm¹	ciːm	ciːm	ciːm	ʔɔ̰³⁴³	ciːm¹	ciːm¹	sɨm¹	ciːm¹	ciːm¹	cim³³
BITE_1					kaːt	kaːt	kaːt							
BITE_2	kămˀ	kɤ̤̆m⁴	kəʌm	kɐm⁴				kĭɳ³⁴³	kaɲ³	kaɲ³	kăn³	tuh³	kam⁴	kăŋ⁴⁵
BLACK_1								ɳɯ̆m³⁴	jəm¹	jəm¹		ɲum²		
BLACK_2	tʰiːu̯	tɛn¹	tɛntɛn	tɛn							tɛn¹			ɗɛːŋ³³
BLOOD_1	atʰɛa̯mˀ	ʔaɕam³	asam	asaːm³		saːm	saːm							
BLOOD_2									maw³	maw³	maw³			mau̯⁴⁵
BLOOD_3												tamuː¹		
BLUE OR GREEN_1	ɕɛi̯ɲ	ɕeŋ¹	sĭŋ	seŋ				salɛːw³²⁴			sɛɲ¹	salɛːw¹		san³³
BODY LOUSE_1	n̩rei̯ɲˀ	ɓlĭŋ³	briɲ	briɲ³	pʰlʌɲ	pʰliŋ	pʰlɛɲ	ma³hriɳ³⁴³	kʰiɲ³	fəɲ⁴⁵	reɲ⁴	hahiŋ³	pʰriɲ³	ɹəŋ²¹²
BONE_1	ɕie̯ŋ	ɕaŋ²	saŋ	saːŋ²				sɤŋ³	sɨaŋ¹	sɨaŋ¹	sɨəŋ¹		sɨəŋ¹	sɨːŋ³³
BONE_2												tkoːk²		
BREAST_1								panṵ³⁴³				panuː		
BREAST_2	nɒːi̯	nɔi̯⁴	nɔj	nɔːj³	now	nuː	now		puː³	puː³	ʔu³		ʔuː³	vu⁴⁵
BURNING_1	ʨaːlˀ											cal¹		cai̯⁴⁵
BURNING_2								kĭɳ³			pɔŋ²			
BURNING_3					plaot	ploːk	plaot							
CLAW OR NAIL_1	n̩tɒŋ	kutoŋ¹	kə̆ntoŋ	katoːŋ¹										
CLAW OR NAIL_2											mɔŋ³			mɔŋ͡m⁴⁵
CLAW OR NAIL_3					sam	ksam	sam	kasăm³⁴³				ksam¹	sam¹	
CLOUD_1	ʑɯːl	mɤ̆l¹	mə̆l	məl¹	mun	kmil	mʌl	mek³	maə¹	məl¹	mə̆n¹	meːk	mʌl¹	məi̯³³
DIE_1	ʨiːt	kɯcit³	kacit	ciːt⁵²	ceːt	ceːt	ceːt	kacɛt³⁴	ceːt⁵²	ceːt⁵²		cəːt¹	ceːt⁵²	cəːt⁴⁵
DOG_1	aʨɒʔ	ʔacɔ³	acɔ	acɔː³	cɔː	cɔː	cɔː	cɔ̰³⁴³	cɔː³	cɔː³		cɔː¹	cɒː³	cɔː⁴⁵
DOG_2											xwjen⁵			
DRINK_1	ɲəu̯ʔ	ɲo⁴	ɲu	ɲuː⁴	ɲoː⁴⁵	ɲoː⁴⁵	ɲuː⁴⁵	ɳõ³⁴³	ʔɔːŋ³	ʔɔːŋ³	ʔɔːŋ³	ɲuː²	ɲoː⁴	ʔuːŋ⁴⁵
DRY_1	kʰoː	ɽɔh¹	kʰo	kʰo	kʰaw			ɬɔh³			xo¹		kʰɔː¹	xoː³³
EAR_1	tʰaːi̯	ɕai̯¹	saj	saːj¹	saːj	patsaːj	batsaːj	saj³	tʰaːj¹	saːj¹	taj¹	saːj¹	saːj¹	taːi̯³³
EARTH (SOIL)_1	atăk							atăk⁴				ʔataːk³		
EARTH (SOIL)_2		ɓɤn³	bən	bɤnʔ	tɔt	tit	tʌt		tʌt⁵²	tʌt⁵²	tə̆t⁵²		tʌt⁵²	ɗək⁴⁵
EAT_1	ʔăn	ʔăn¹	ʔăn	ʔan	ʔan	ʔan	ʔan	ʔan³			ăn¹	ʔan¹		ʔăŋ³³
EGG_1		talul³	təlul	tuluːl³				talṵl³⁴³				tulun³		
EGG_2	uluːlˀ				klaəŋ	kləːŋ	klaəŋ		kləŋ³	kləŋ³	ʈəŋ³		lɨən¹	ʈɨŋ⁴⁵
EYE_1	mʌat	mat⁴	mə̯ʌt	mə̆at⁵³	mat	mat	mat	măt³⁴	mat²	mat²	măt⁵²	mat¹	mat⁵³	măk⁴⁵
FALL_1			tlɔ											
FALL_2												tʰaloːj⁴		
FALL_3		ɽa̤h²		ruh²	ɣaəc		ʰlaəc	ɬuj³⁴³			po⁵			ɹəːi̯³³
FALL_4	ru													
FAR_1											sa¹			saː³³
FAR_2	ŋaːi̯	ɕiŋai̯³	cə̆ŋaj	təŋaːj³	ŋaːj	ŋaːj	ŋaːj	saŋa̤j³⁴³				sŋaːj²	ŋaːj³	
FAT (ORGANIC SUBSTANCE)_1									məː⁵¹	məː⁴⁵	mə⁵		məː⁵¹	məː²¹⁴
FAT (ORGANIC SUBSTANCE)_2												atuː¹		
FAT (ORGANIC SUBSTANCE)_3	tluŋ	klŭŋ¹	kluŋ	tluŋ²										
FAT (ORGANIC SUBSTANCE)_4						puːj								
FEATHER OR FUR OR HAIR_1									loːŋ¹	loːŋ¹	loːŋ²ʔ		lɔːŋ¹	lɔŋ͡m³³
FEATHER OR FUR OR HAIR_2	utʰŭk	ʔuɕŭk³	usuk	suk⁵²				ʔaso̰k³⁴						
FIRE OR FIREWOOD_1	ku	kul̥³	kur	kuːlʰ¹	kuːc	kuːt	kuːc	kuih³	kuːj⁵	kuːj⁵	kun⁵	kuʤʰ²	kuːl⁵¹	lɨə²¹⁴
FISH_1	akɛa̯ʔ	ʔaka³	ka	akaː³	kaː	kaː	kaː	aka̰³⁴³	kaː³	kaː³	ka³	kaː¹	kaː³	kaː⁴⁵
FLESH OR MEAT_1	tʰit	ɕit⁴	sit	sit⁵³	siːt			sit⁴	ɲuk⁵²	ɲuk⁵²	tit⁵³	mɛːŋ²	siːt⁵³	tʰɨt²¹²
FLY (MOVE THROUGH AIR)_1	păl	pɤ̆l¹	pəl	pəl¹	pɔn	pil	pʌl	pɤ̆l⁴	paə¹	pal¹		hul¹	pʌl¹	ɓai̯³³
FOOT_1	ʨiŋ	ciŋ²	ciŋ	ciːŋ²				siŋ³	cən¹	cən¹	cɔ²	ciːŋ¹	kaŋ⁵	cəŋ³³
FULL_1								pĭc³⁴						ɗəi̯²¹
FULL_2	paɲ	ɓlăm¹	blăm	blam	blam	blam	blam				lăm¹		pleː³	
GIVE_1	ʨɒː	cɤ¹	cʌə	cɤ	caə		caə	cɤ³			cɔ¹			cɔː³³
GOOD_1				tʰot				di³			toːt⁵²	diː		tok⁴⁵
GOOD_2	ʔie̯m	hăi¹	haj											
HAIR (HEAD)_1	utʰŭk	ʔuɕŭk³	usuk	suk⁵²	sok	suk	sok	kɤ̰j³⁴³	tʰak⁵²	sak⁵²	tăk⁵²	sɔk¹		tɔk͡p⁴⁵
HEAD_1	ulŏk	kulo̤k⁴	kŭluok	kulok⁵³	kloːk	kloːk	kloːk	kalṵk³⁴	kloːk⁵²	kloːk⁵²	ʈoːk⁵²		kloːk⁵³	
HEAD_2												ʔɔːk¹		
HEAD_3														ɗəu̯²¹
HEAD LOUSE_1	ʨiʔ	ci³	ci	ciː³	cəi	ciː	cei	cḭ⁴³	ciː³	ciː³	si³	kəː²	ciː³	cəi̯⁴⁵
HEAR OR LISTEN_1	ta³³ma̤ŋ³²tolistenʔ							ŋet³⁴tohearʔ						
HEAR OR LISTEN_2			cămaŋ	cəmaŋ³					maŋ¹	maŋ¹		hapaŋ²		
HEAR OR LISTEN_3					ŋɛː	ŋɛː	ŋɛː				ŋɛ¹			ŋɛː³³
HEAR OR LISTEN_4		taŋet³												
HEART_1		toŋ¹	toŋ	toːŋ¹	sɛːm	seːm		tɒ̆ŋ³²⁴			tim¹	ɲiːm¹	tiːm¹	tim³³
HEART_2	laŋo													
HEAVY_1		năŋ³	naŋ	naŋ³	naŋ	naŋ	naŋ		naŋ⁴	naŋ⁴⁵	năŋ⁴		naŋ³	naŋ²¹²
HORN (ANATOMY)_1	takaːi̯											tkɔːj¹		
HORN (ANATOMY)_2		ʂɯ̆ŋ²	krɨŋ	ʈəŋ²	kʰlɔŋ	kʰrɨŋ	kʰlʌŋ		kʰɨŋ²	kʰəŋ²	ʃɨŋ²djaj¹		kʰrɨŋ²	sɨŋ²¹
I_1	kɯʔ		ho	ho	saw		saw	ʔeŋ						
I_2		ʔaho¹									tɔ¹			taːu̯³³
I_3												kan³		
KILL_1	kaʨit	cit³	kacit	kəciːt⁵²	ʄjɛth	pceːt					jɨet⁵²	pɔh¹	jjɛt⁵²	jiːk⁴⁵
KNEE_1	lukulˀ	kulo̤k⁴takul³	kŭluoktŭkul	təkuːl³	kunkuːn		kulkuːl	kalŭk³⁴kul³⁴			ʈok⁵²kon³			ɗəu̯²¹ɡoːi̯⁴⁵
KNEE_2												ʔɔːkʔakuːl		
KNOW (SOMETHING)_1	hiː	hi¹	hi	hi				ɬo³⁴³				huʔ		ɓiːk⁴⁵
LEAF_1	ulɛa̯ʔ	ʔula³	ŭla	laː³	laː	laː	laː	salwa̰³⁴³	laː³	laː³	la³	slaː⁴	laː³	laː⁴⁵
LIE (REST)_1		ɲap⁴	nʌp				lam	năm³²⁴			năm²	nam¹		năm²¹
LIE (REST)_2				təŋah¹										
LIE (REST)_3	pi													
LIVER_1											kan¹			ɡaːŋ³³
LIVER_2	luom	lɔ̤m²	ləɔm	loɔm²	lɔːm	lɔːm	lɔːm	lɒm³²⁴	lɔːm²	lɔːm²		lɔːm¹	lɔːm²	
LONG_1		ʑa̤l²	ʔjal	ʤal	jaon	joːn	jɔːn	zon³	zaːj²	zaːj²	jaj²	joːn	jɔːn¹	jaːi̯²¹
LONG_2	lɤːŋ													
MOON_1				matʈaŋ							măt⁵³ʈăŋ¹			
MOON_2		pala̤n²	pŭləan		plɔːŋ	plɔːŋ	plɔoŋ	tʰala³²⁴	klaŋ¹	plaŋ¹		paloːŋ¹	plɔŋ²	ʈăŋ³³
MOON_3	n̩ra													
MOUNTAIN_1	ɗu		cɨt	bluʔ	pʰlow	pʰluː	pʰlow	pʰŏn³⁴³	toːə²	toːl²			pʰraw³	nui̯⁴⁵
MOUNTAIN_2		kon²									lɛn²ta³			
MOUNTAIN_3												ʔaloːŋ⁴		
MOUTH_1	kɛa̯ŋˀ	kaŋ³	kaŋ	kaːŋ³										
MOUTH_2								mɜ̆ɳ³⁴	moːm²	moːm²	mom²		mɔːm¹	miːŋ²¹²
MOUTH_3												snuːj⁴		
NECK_1		nɔŋ⁴										nəːt³		
NECK_2					kaw	koː	kaw		kɛːə¹	kɛːl¹	ko⁵			koː²¹⁴
NECK_3	ukin		tə̆ke	təkiː⁴										
NECK_4								katăŋ³						
NEW_1	mɛa̯h	ɓɤi̯³	bəj	bɤi̯	baːj	bəːj	baəj	tamə³²⁴	məːj³	məːj³	məj³		bəːj³	məːi̯⁴⁵
NIGHT_1	lɯmˀ	lɯ̆m⁴	lɨm	lum	tɛːm	teːm	taem				tem¹		teːm¹	ɗeːm³³
NIGHT_2												ʔamah³		
NOSE_1	mu	mul³	mwʌh	muːlʰ¹	muːc	muːt	muːc	mṵʤʰ³	muːj⁵¹	muːj⁴⁵	mun⁵	muʤʰ¹	muːl⁵¹	mui̯²¹⁴
OLD (USED)_1					koː	koː	koː							ku²¹⁴
OLD (USED)_2	ulɔː													
OLD (USED)_3		kɯɽa¹		kamɐk⁵³				tʰala³²⁴				tʰaw¹		
OLD (USED)_4			tɨjtɨj											
ONE_1	mui̯c	muc⁴	moi̯c	mʊːc⁵³	moːc	moːt	muːc	moc³⁴	moːt⁵³	moːc⁵³	mot⁵³	muːt¹	moːt⁵³	mok²¹²
PATH OR ROAD_1	urɛa̯ʔ				kʰlaː	klaː	kʰlaː		tʰaː³	kʰaː³		kʰalaː²		
PATH OR ROAD_2		ta̤ŋ²	tɨaŋ	tɯa̤ŋ										jɨə̯ŋ²¹
PATH OR ROAD_3											taŋ²ti¹ʔ			
PERSON_1		ŋai̯²	ŋaj								ŋaj²			ŋɨːi̯²¹
PERSON_2				kɔːn¹	kun	kun	kɔn	kʰŏn³				kon		
PERSON_3	ʨʌmrău													
RAIN (PRECIPITATION)_1								sɯŋ⁴				maloːj²		
RAIN (PRECIPITATION)_2					maː	kʰmaː	maː							
RAIN (PRECIPITATION)_3	mia	kuma̤²	kŭmʌa	kuməa²					mɨa¹	mɨa¹	mɨa¹		mɐː²	mɨə³³
RED_1		tɔ⁴	tɔ	tɔː⁵¹			kɔːl	tɔh³	tɔː⁵	tɔː⁵	tɔ⁵	tɔh¹		ɗɔː²¹⁴
RED_2	ikaːlˀ				kaon									
ROOT_1		lɛl̥³	ljɛ	ljɛlʰ¹				lɛl³⁴					lɛːl⁵¹	
ROOT_2	ri								rac²	tʰac²	rɛt⁵³	hɛh		ɹeː²¹⁴
ROPE_1		ca̤k⁴	cak	cəak⁵³					caːk⁵³	caːk⁵³	cak⁵³		cɐːk⁵³	caːk²¹²
ROPE_2								ʔatŏŋ³²⁴				ʔatal¹		
ROPE_3	ariɲ													
ROUND_1	tlɔːn	klɔn²	klɔn	tlɔːn²				kalŏm³²⁴	klɔːn²	klɔːn²	ʈɔn²		klɔːn²	ʈɔːŋ²¹
SALT_1	ɓɒːi̯	ɓɔi̯³	bɔj	bɔːj³	bɔːj	bɔːj	bɔːj	bɔ̰j³⁴³	vɔːj³	bɔːj³	vɔj³	bɔːj¹	bɒːj³	muːi̯⁴⁵
SAND_1	takaːi̯c		tə̆kac	təkaːc⁵²					kaːc⁵²	kaːc⁵²	kăc⁵²	tʰɛh²		kaːk⁴⁵
SAND_2		kaɽa̤ŋ²			kʰlɛː	pʰlɛː	kʰlɛː	kʰalɤŋ³						
SEE_1	ʨɯŋ	cɯ̆ŋ¹	cɨŋ	ʒua̤m	daːm		daːm	cɤ̆ŋ³⁴						
SEE_2											tə̆j³			tʰəi̯⁴⁵
SEE_3												nah⁴		
SIT_1	ŋoi	ŋo̤i̯²	ŋuj	ŋo̤i			ŋuːj		ŋoːj²	ŋoːj²	ŋoj²	cuŋ²	ŋoːj²	ŋoːi̯²¹
SIT_2								sadoh³						
SKIN_1									taː¹	taː¹	ta¹			jaː³³
SKIN_2	arwoi̯c	kuɽot⁴	kărɔt	kəroːt⁵²	kʰlaot	kʰloːt	kʰlaot	kʰalɔ̰t³⁴				kʰaloːt²		
SLEEP_1					tɔŋ	tɨŋ	tʌŋ							
SLEEP_2			nʌp	nəa̤p							ŋu⁵			ŋu²¹⁴
SLEEP_3		ɲap⁴						năm³²⁴				nam⁴		
SLEEP_4	pi													
SMALL_1	kʌtkʌ̆t	ɗɛ⁰ɗɛ³	dɛdɛ	dʔuoʔ	diːt		diːt	dɪt³⁴			ɲɔ⁵	ʔiːt		ɲɔː²¹⁴
SMOKE (EXHAUST)_1	ahɒːi̯	kuhɔi̯³	kaɔj	kəhɔːj³	kʰɔːj	kʰɔːj	kʰɔːj	kahəj³⁴³	kʰɔːj³	kʰɔːj³	xɔj³	kahɔːj¹	kʰɒːj³	xɔːi̯⁴⁵
STAR_1		kumĭŋ¹	kŭmiɲ	kumiŋ										
STAR_2	tlɔː				baɛ	kbeː	bae	kalɔ³²⁴	kʰaːw¹	kʰaːw¹	ʃaw¹		kʰraːw¹	saːu̯³³
STAR_3												ʔakɔːl³		
STONE_1		ta⁰ta³						kɔnkɤl³						
STONE_2	atɛa̯ʔ								kʰuː⁴	fuː⁴		kih³		
STONE_3				taː³	taː	taː	taː				ta³		taː³	ɗaː⁴⁵
STONE_4			lata											
SWIM_1	ŋuolˀ			pɤi̯	pəːj		pəːj	lɔj³⁴						ɓəːi̯³³
SWIM_2		ʔaʑa¹	aja											
SWIM_3											tăm³			
TAIL_1	tuoi̯	tɔ̤i̯²	tuoj	twej²	tɔːj	tɔːj	toːj		twoj¹	twoj¹	tuj¹	toːj¹	tɔːj²	ɗuəi̯³³
THICK_1	uɓău							kapu³				kbuː		
THICK_2		katɤ̆i̯²	kutɨej		taj	ktaj	taj		taj²	taj²	tăj²			jai̯²¹
THIS_1		ʔini¹						tani³				ʔaliː¹		
THIS_2											năj¹			nai̯²¹
THIS_3			ni	ni	nəi	niː	nei						naː³	
THIS_4	kɯ̆i̯													
THOU_1	mɯi̯		mi	mi	məi	miː	mei						miː²	mai̯²¹
THOU_2		ʔami¹									jə̆w¹	tʰəw¹		
THOU_3								căk						
TONGUE_1	lieh	la̤ɽ⁴	ləarl	ləalʰ²	laːc	laːt	laːc	lal³	laːj⁵¹	laːj⁴⁵		laʤʰ¹	lɐːl⁵¹	lɨːi̯²¹⁴
TOOTH_1	atʰăŋ	kaɕăŋ¹	kasăŋ	kəsaŋ¹				kasăŋ³		saŋ¹	tăŋ¹	ksaŋ¹		ɹăŋ³³
TREE_1		kɤ̤i̯²	kəʌj	kəj¹	kɔn	kaw	kʌl	kil³	kaə¹	kəl¹	kən¹		kʌl²	kəi̯³³
TREE_2												tʰaŋ²		
TREE_3	ʨirʌŋ													
TWO_1	hɛa̯l	hal¹	hal	haːl¹	haːn	haːl	haːl	hal³⁴	haːə¹	haːl¹	han¹	haːl¹	haːl¹	haːi̯³³
WALK_1	tiː	ti²	ti	tiː²	təi	tiː	tei		tiː¹	tiː¹	ti¹	tiː¹	tiː²	ɗi³³
WALK_2								ʔɤc³⁴						
WARM_1	tiɲ	tĭŋ¹	tɨl			tʰəːl	tʰəːl					ptiŋ¹		
WARM_2				kəʔam				taʔɯ̆m³⁴³	ʔəm³	ʔəm³	ə̆m¹ə̆m³		ʔʌm³	ʔəm⁴⁵
WATER_1	ɗɛa̯k	ɗak³	dak	daːk⁵²	daːk	daːk	daːk	dak⁴	raːk⁵²	daːk⁵²	djak⁵²	daːk¹	daːk⁵²	nɨːk⁴⁵
WHAT_1				kɛ	ciː		ciː	mʌ			si¹			ji²¹
WHAT_2	amɯ̆h	camɤ³	cămə									ʔahəː³		
WHITE_1		takal¹	tə̆kal	cakal										
WHITE_2											ʈăŋ³			ʈăŋ⁴⁵
WHITE_3	tlaːk				plɔːk	plɔːk	plɔk	lɒk³⁴	lɔːk⁵³	lɔːk⁵³		lɔːk³	pɐːk⁵³	
WHO_1		ʔaʔai̯¹	ʔaj	ʔaj	ʔaɛ	ʔeː	ʔae	ʔavɛ³	ʔaːj¹	ʔaːj¹		noː¹	ʔeː¹	ʔaːi̯³³
WHO_2											aj¹			
WHO_3	iɗɯm													
WIDE_1	roŋˀ		ʒuoŋ		ɣoːŋ		ʰloːŋ		ʐoːŋ⁴	tʰoːŋ⁴⁵			roːŋ⁴	ɹɔŋ͡m²¹²
WIND_1					jɔː		jɔː		sɔː³	sɔː³	sɔ³		sɒː³	jɔː⁴⁵
WIND_2	kaʑɒʔ	kuʑɔ³	kăjɔ	kəjɔː³		kăjɔː		ka³zɔ³⁴³				kjuː¹		
